-;;;;;;;;8;9;10;11;12;13;14;15;16;17;18;19
-;;;;;;;;POTENCIA (€/kW/día);;;;;;ENERGIA (€/kWh);;;;;
-;soporte;CIA;SISTEMA;CIA;Producto CIA (potencia);Transporte Distribución;fee;P1;P2;P3;P4;P5;P6;P1;P2;P3;P4;P5;P6
-;PENINSULAACCIONAFIJOCIERZO2.0TD-;ACCIONA;PENINSULA;;CIERZO;2.0TD;-; 0,08812 € ; 0,01957 € ; -   € ; -   € ; -   € ; -   € ; 0,35570 € ; 0,30463 € ; 0,26599 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOLEVANTE2.0TD-;ACCIONA;PENINSULA;;LEVANTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36687 € ; 0,31579 € ; 0,27716 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOLEVANTE+2.0TD-;ACCIONA;PENINSULA;;LEVANTE+;2.0TD;-; 0,08264 € ; 0,01409 € ; -   € ; -   € ; -   € ; -   € ; 0,36687 € ; 0,31579 € ; 0,27716 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOPONIENTE2.0TD-;ACCIONA;PENINSULA;;PONIENTE;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,36078 € ; 0,30970 € ; 0,27107 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOPONIENTE+2.0TD-;ACCIONA;PENINSULA;;PONIENTE+;2.0TD;-; 0,07716 € ; 0,00861 € ; -   € ; -   € ; -   € ; -   € ; 0,36078 € ; 0,30970 € ; 0,27107 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOTRAMONTANA2.0TD-;ACCIONA;PENINSULA;;TRAMONTANA;2.0TD;-; 0,07168 € ; 0,00313 € ; -   € ; -   € ; -   € ; -   € ; 0,35570 € ; 0,30463 € ; 0,26599 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOTRAMONTANA+2.0TD-;ACCIONA;PENINSULA;;TRAMONTANA+;2.0TD;-; 0,07442 € ; 0,00587 € ; -   € ; -   € ; -   € ; -   € ; 0,35570 € ; 0,30463 € ; 0,26599 € ; -   € ; -   € ; -   € 
-;PENINSULAACCIONAFIJOCIERZO3.0TD-;ACCIONA;PENINSULA;;CIERZO;3.0TD;-; 0,05600 € ; 0,04692 € ; 0,03047 € ; 0,02805 € ; 0,02345 € ; 0,02132 € ; 0,34108 € ; 0,32250 € ; 0,29104 € ; 0,28020 € ; 0,26224 € ; 0,26189 € 
-;PENINSULAACCIONAFIJOLEVANTE3.0TD-;ACCIONA;PENINSULA;;LEVANTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,35225 € ; 0,33367 € ; 0,30220 € ; 0,29137 € ; 0,27341 € ; 0,27305 € 
-;PENINSULAACCIONAFIJOLEVANTE+3.0TD-;ACCIONA;PENINSULA;;LEVANTE+;3.0TD;-; 0,05052 € ; 0,04144 € ; 0,02500 € ; 0,02257 € ; 0,01797 € ; 0,01584 € ; 0,35225 € ; 0,33367 € ; 0,30220 € ; 0,29137 € ; 0,27341 € ; 0,27305 € 
-;PENINSULAACCIONAFIJOPONIENTE3.0TD-;ACCIONA;PENINSULA;;PONIENTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,34616 € ; 0,32758 € ; 0,29611 € ; 0,28528 € ; 0,26732 € ; 0,26696 € 
-;PENINSULAACCIONAFIJOPONIENTE+3.0TD-;ACCIONA;PENINSULA;;PONIENTE+;3.0TD;-; 0,04504 € ; 0,03597 € ; 0,01952 € ; 0,01709 € ; 0,01249 € ; 0,01036 € ; 0,34616 € ; 0,32758 € ; 0,29611 € ; 0,28528 € ; 0,26732 € ; 0,26696 € 
-;PENINSULAACCIONAFIJOTRAMONTANA3.0TD-;ACCIONA;PENINSULA;;TRAMONTANA;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,34108 € ; 0,32250 € ; 0,29104 € ; 0,28020 € ; 0,26224 € ; 0,26189 € 
-;PENINSULAACCIONAFIJOTRAMONTANA+3.0TD-;ACCIONA;PENINSULA;;TRAMONTANA+;3.0TD;-; 0,04230 € ; 0,03323 € ; 0,01678 € ; 0,01435 € ; 0,00975 € ; 0,00762 € ; 0,34108 € ; 0,32250 € ; 0,29104 € ; 0,28020 € ; 0,26224 € ; 0,26189 € 
-;PENINSULAACCIONAFIJOCIERZO6.1TD-;ACCIONA;PENINSULA;;CIERZO;6.1TD;-; 0,07786 € ; 0,07225 € ; 0,04789 € ; 0,04125 € ; 0,02190 € ; 0,01969 € ; 0,30299 € ; 0,28725 € ; 0,26508 € ; 0,25697 € ; 0,23742 € ; 0,23841 € 
-;PENINSULAACCIONAFIJOLEVANTE6.1TD-;ACCIONA;PENINSULA;;LEVANTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,31415 € ; 0,29842 € ; 0,27624 € ; 0,26814 € ; 0,24858 € ; 0,24958 € 
-;PENINSULAACCIONAFIJOLEVANTE+6.1TD-;ACCIONA;PENINSULA;;LEVANTE+;6.1TD;-; 0,07238 € ; 0,06677 € ; 0,04241 € ; 0,03577 € ; 0,01642 € ; 0,01421 € ; 0,31415 € ; 0,29842 € ; 0,27624 € ; 0,26814 € ; 0,24858 € ; 0,24958 € 
-;PENINSULAACCIONAFIJOPONIENTE6.1TD-;ACCIONA;PENINSULA;;PONIENTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,30806 € ; 0,29233 € ; 0,27015 € ; 0,26205 € ; 0,24249 € ; 0,24349 € 
-;PENINSULAACCIONAFIJOPONIENTE+6.1TD-;ACCIONA;PENINSULA;;PONIENTE+;6.1TD;-; 0,06690 € ; 0,06129 € ; 0,03693 € ; 0,03029 € ; 0,01094 € ; 0,00873 € ; 0,30806 € ; 0,29233 € ; 0,27015 € ; 0,26205 € ; 0,24249 € ; 0,24349 € 
-;PENINSULAACCIONAFIJOTRAMONTANA6.1TD-;ACCIONA;PENINSULA;;TRAMONTANA;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,30299 € ; 0,28725 € ; 0,26508 € ; 0,25697 € ; 0,23742 € ; 0,23841 € 
-;PENINSULAACCIONAFIJOTRAMONTANA+6.1TD-;ACCIONA;PENINSULA;;TRAMONTANA+;6.1TD;-; 0,06416 € ; 0,05855 € ; 0,03419 € ; 0,02755 € ; 0,00820 € ; 0,00599 € ; 0,30299 € ; 0,28725 € ; 0,26508 € ; 0,25697 € ; 0,23742 € ; 0,23841 € 
-;PENINSULAACCIONAFIJOCIERZO6.2TD-;ACCIONA;PENINSULA;;CIERZO;6.2TD;-; 0,06027 € ; 0,05698 € ; 0,03705 € ; 0,03541 € ; 0,01998 € ; 0,01868 € ; 0,28359 € ; 0,27162 € ; 0,25484 € ; 0,24991 € ; 0,23439 € ; 0,23264 € 
-;PENINSULAACCIONAFIJOLEVANTE6.2TD-;ACCIONA;PENINSULA;;LEVANTE;6.2TD;-; 0,04383 € ; 0,04054 € ; 0,02061 € ; 0,01897 € ; 0,00354 € ; 0,00224 € ; 0,29476 € ; 0,28279 € ; 0,26600 € ; 0,26108 € ; 0,24555 € ; 0,24381 € 
