;;;;;;POTENCIA;;;;;;ENERGIA;;;;;
sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARES;ACCIONA;FIJO;CIERZO;2.0TD;-;0,088121 €;0,019570 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;LEVANTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;LEVANTE+;2.0TD;-;0,082641 €;0,014091 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;PONIENTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;PONIENTE+;2.0TD;-;0,077162 €;0,008611 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;TRAMONTANA;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;TRAMONTANA+;2.0TD;-;0,074422 €;0,005872 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;ACCIONA;FIJO;CIERZO;3.0TD;-;0,056000 €;0,046924 €;0,030475 €;0,028048 €;0,023445 €;0,021317 €;0,310483 €;0,308686 €;0,307752 €;0,296142 €;0,282417 €;0,262639 €
BALEARES;ACCIONA;FIJO;LEVANTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,321648 €;0,319851 €;0,318917 €;0,307307 €;0,293582 €;0,273804 €
BALEARES;ACCIONA;FIJO;LEVANTE+;3.0TD;-;0,050521 €;0,041445 €;0,024995 €;0,022568 €;0,017966 €;0,015837 €;0,321648 €;0,319851 €;0,318917 €;0,307307 €;0,293582 €;0,273804 €
BALEARES;ACCIONA;FIJO;PONIENTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,315558 €;0,313761 €;0,312827 €;0,301217 €;0,287492 €;0,267714 €
BALEARES;ACCIONA;FIJO;PONIENTE+;3.0TD;-;0,045041 €;0,035965 €;0,019516 €;0,017089 €;0,012487 €;0,010358 €;0,315558 €;0,313761 €;0,312827 €;0,301217 €;0,287492 €;0,267714 €
BALEARES;ACCIONA;FIJO;TRAMONTANA;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,310483 €;0,308686 €;0,307752 €;0,296142 €;0,282417 €;0,262639 €
BALEARES;ACCIONA;FIJO;TRAMONTANA+;3.0TD;-;0,042302 €;0,033226 €;0,016776 €;0,014349 €;0,009747 €;0,007618 €;0,310483 €;0,308686 €;0,307752 €;0,296142 €;0,282417 €;0,262639 €
BALEARES;ACCIONA;FIJO;CIERZO;6.1TD;-;0,077855 €;0,072249 €;0,047885 €;0,041248 €;0,021896 €;0,019686 €;0,278133 €;0,276809 €;0,277166 €;0,269535 €;0,256618 €;0,239099 €
BALEARES;ACCIONA;FIJO;LEVANTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,289298 €;0,287974 €;0,288331 €;0,280700 €;0,267783 €;0,250264 €
BALEARES;ACCIONA;FIJO;LEVANTE+;6.1TD;-;0,072376 €;0,066769 €;0,042406 €;0,035768 €;0,016417 €;0,014206 €;0,289298 €;0,287974 €;0,288331 €;0,280700 €;0,267783 €;0,250264 €
BALEARES;ACCIONA;FIJO;PONIENTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,283208 €;0,281884 €;0,282241 €;0,274610 €;0,261693 €;0,244174 €
