PRECIOS INDEX MES;;;;;;;;;;;;PRECIOS INDEX POTENCIA;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SISTEMA;TARIFA;CIA;MES;FEE;P1.;P2.;P3.;P4.;P5;P6.;;SISTEMA;CIA;PRODUCTO;PRODUCTO CIA;TARIFA;P1;P2;P3;P4;P5;P6
BALEARES;2.0TD;ACCIONA;01/10/2023;Cierzo;0,2093730 €;0,1625650 €;0,1393010 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;CIERZO;2.0TD;0,088121 €;0,019570 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/10/2023;Cierzo;0,0000000 €;0,1681570 €;0,1543890 €;0,0000000 €;0,0000000 €;0,1386670 €;;BALEARES;ACCIONA;INDEXADO;CIERZO;3.0TD;0,056000 €;0,046924 €;0,030475 €;0,028048 €;0,023445 €;0,021317 €
BALEARES;6.1TD;ACCIONA;01/10/2023;Cierzo;0,0000000 €;0,1482200 €;0,1380440 €;0,0000000 €;0,0000000 €;0,1264660 €;;BALEARES;ACCIONA;INDEXADO;CIERZO;6.1TD;0,077855 €;0,072249 €;0,047885 €;0,041248 €;0,021896 €;0,019686 €
BALEARES;6.2TD;ACCIONA;01/10/2023;Cierzo;0,0000000 €;0,1346080 €;0,1293250 €;0,0000000 €;0,0000000 €;0,1232150 €;;BALEARES;ACCIONA;INDEXADO;CIERZO;6.2TD;0,060270 €;0,056978 €;0,037051 €;0,035407 €;0,019981 €;0,018683 €
BALEARES;2.0TD;ACCIONA;01/09/2023;Cierzo;0,2249310 €;0,1781930 €;0,1552490 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE+;2.0TD;0,082641 €;0,014091 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/09/2023;Cierzo;0,1927150 €;0,1837170 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1546150 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE+;3.0TD;0,050521 €;0,041445 €;0,024995 €;0,022568 €;0,017966 €;0,015837 €
BALEARES;6.1TD;ACCIONA;01/09/2023;Cierzo;0,1691500 €;0,1624580 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1409550 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE+;6.1TD;0,072376 €;0,066769 €;0,042406 €;0,035768 €;0,016417 €;0,014206 €
BALEARES;6.2TD;ACCIONA;01/09/2023;Cierzo;0,1519250 €;0,1486730 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1373780 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE+;6.2TD;0,054790 €;0,051498 €;0,031572 €;0,029927 €;0,014502 €;0,013204 €
BALEARES;2.0TD;ACCIONA;01/08/2023;Cierzo;0,2163380 €;0,1695620 €;0,1464410 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE;2.0TD;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/08/2023;Cierzo;0,1842560 €;0,1751240 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1458070 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE;3.0TD;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €
BALEARES;6.1TD;ACCIONA;01/08/2023;Cierzo;0,1613230 €;0,1545950 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1329530 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE;6.1TD;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €
BALEARES;6.2TD;ACCIONA;01/08/2023;Cierzo;0,1441940 €;0,1409050 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1295560 €;;BALEARES;ACCIONA;INDEXADO;LEVANTE;6.2TD;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €
BALEARES;2.0TD;ACCIONA;01/07/2023;Cierzo;0,2097617 €;0,1629553 €;0,1397000 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE+;2.0TD;0,077162 €;0,008611 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/07/2023;Cierzo;0,1777822 €;0,1685458 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1390660 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE+;3.0TD;0,045041 €;0,035965 €;0,019516 €;0,017089 €;0,012487 €;0,010358 €
BALEARES;6.1TD;ACCIONA;01/07/2023;Cierzo;0,1553319 €;0,1485763 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1268285 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE+;6.1TD;0,066896 €;0,061290 €;0,036926 €;0,030289 €;0,010937 €;0,008727 €
BALEARES;6.2TD;ACCIONA;01/07/2023;Cierzo;0,1382769 €;0,1349596 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1235687 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE+;6.2TD;0,049311 €;0,046019 €;0,026092 €;0,024448 €;0,009022 €;0,007724 €
BALEARES;2.0TD;ACCIONA;01/06/2023;Cierzo;0,2127672 €;0,1659745 €;0,1427808 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE;2.0TD;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/06/2023;Cierzo;0,1807409 €;0,1715518 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1421468 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE;3.0TD;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €
BALEARES;6.1TD;ACCIONA;01/06/2023;Cierzo;0,1580697 €;0,1513268 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1296274 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE;6.1TD;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €
BALEARES;6.2TD;ACCIONA;01/06/2023;Cierzo;0,1409811 €;0,1376767 €;0,0000000 €;0,0000000 €;0,0000000 €;0,1263048 €;;BALEARES;ACCIONA;INDEXADO;PONIENTE;6.2TD;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €
BALEARES;2.0TD;ACCIONA;01/05/2023;Cierzo;0,1905974 €;0,1437035 €;0,1200554 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA+;2.0TD;0,074422 €;0,005872 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/05/2023;Cierzo;0,0000000 €;0,1493782 €;0,1352915 €;0,0000000 €;0,0000000 €;0,1194214 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA+;3.0TD;0,042302 €;0,033226 €;0,016776 €;0,014349 €;0,009747 €;0,007618 €
BALEARES;6.1TD;ACCIONA;01/05/2023;Cierzo;0,0000000 €;0,1310376 €;0,1207205 €;0,0000000 €;0,0000000 €;0,1089812 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA+;6.1TD;0,064156 €;0,058550 €;0,034187 €;0,027549 €;0,008198 €;0,005987 €
BALEARES;6.2TD;ACCIONA;01/05/2023;Cierzo;0,0000000 €;0,1176338 €;0,1122858 €;0,0000000 €;0,0000000 €;0,1061224 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA+;6.2TD;0,046571 €;0,043279 €;0,023353 €;0,021708 €;0,006283 €;0,004985 €
BALEARES;2.0TD;ACCIONA;01/04/2023;Cierzo;0,1900316 €;0,1431352 €;0,1194755 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA;2.0TD;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/04/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1258200 €;0,1172333 €;0,1188415 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA;3.0TD;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €
BALEARES;6.1TD;ACCIONA;01/04/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1142413 €;0,1063693 €;0,1084543 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA;6.1TD;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €
BALEARES;6.2TD;ACCIONA;01/04/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1089217 €;0,1045023 €;0,1056074 €;;BALEARES;ACCIONA;INDEXADO;TRAMONTANA;6.2TD;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €
BALEARES;2.0TD;ACCIONA;01/03/2023;Cierzo;0,2087481 €;0,1619371 €;0,1386610 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;AEQ;INDEXADO;ARMONIA;2.0TD;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/03/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1446863 €;0,1357886 €;0,1380270 €;;BALEARES;AEQ;INDEXADO;ARMONIA;3.0TD;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €
BALEARES;6.1TD;ACCIONA;01/03/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1314427 €;0,1232467 €;0,1258845 €;;BALEARES;AEQ;INDEXADO;ARMONIA;6.1TD;0,062918 €;0,054359 €;0,028295 €;0,023454 €;0,005229 €;0,003148 €
BALEARES;6.2TD;ACCIONA;01/03/2023;Cierzo;0,0000000 €;0,0000000 €;0,0000000 €;0,1258732 €;0,1212379 €;0,1226460 €;;BALEARES;AEQ;INDEXADO;ARMONIA;6.2TD;0,043360 €;0,040165 €;0,017108 €;0,013475 €;0,003281 €;0,002059 €
BALEARES;2.0TD;ACCIONA;01/02/2023;Cierzo;0,2604423 €;0,2138672 €;0,1916506 €;0,0000000 €;0,0000000 €;0,0000000 €;;BALEARES;AEQ;INDEXADO;EQUILIBRIO;2.0TD;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;3.0TD;ACCIONA;01/02/2023;Cierzo;0,0000000 €;0,0000000 €;0,2063333 €;0,1967946 €;0,0000000 €;0,1910166 €;;BALEARES;AEQ;INDEXADO;EQUILIBRIO;3.0TD;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €
