1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
soporte;sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
PENINSULAACCIONAFIJOCIERZO2.0TD-;PENINSULA;ACCIONA;FIJO;CIERZO;2.0TD;-;0,088121 €;0,019570 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,355703 €;0,304626 €;0,265992 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOLEVANTE2.0TD-;PENINSULA;ACCIONA;FIJO;LEVANTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,366868 €;0,315791 €;0,277157 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOLEVANTE+2.0TD-;PENINSULA;ACCIONA;FIJO;LEVANTE+;2.0TD;-;0,082641 €;0,014091 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,366868 €;0,315791 €;0,277157 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOPONIENTE2.0TD-;PENINSULA;ACCIONA;FIJO;PONIENTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,360778 €;0,309701 €;0,271067 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOPONIENTE+2.0TD-;PENINSULA;ACCIONA;FIJO;PONIENTE+;2.0TD;-;0,077162 €;0,008611 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,360778 €;0,309701 €;0,271067 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOTRAMONTANA2.0TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,355703 €;0,304626 €;0,265992 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOTRAMONTANA+2.0TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA+;2.0TD;-;0,074422 €;0,005872 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,355703 €;0,304626 €;0,265992 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAACCIONAFIJOCIERZO3.0TD-;PENINSULA;ACCIONA;FIJO;CIERZO;3.0TD;-;0,056000 €;0,046924 €;0,030475 €;0,028048 €;0,023445 €;0,021317 €;0,341080 €;0,322502 €;0,291035 €;0,280202 €;0,262243 €;0,261887 €
PENINSULAACCIONAFIJOLEVANTE3.0TD-;PENINSULA;ACCIONA;FIJO;LEVANTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,352245 €;0,333667 €;0,302200 €;0,291367 €;0,273408 €;0,273052 €
PENINSULAACCIONAFIJOLEVANTE+3.0TD-;PENINSULA;ACCIONA;FIJO;LEVANTE+;3.0TD;-;0,050521 €;0,041445 €;0,024995 €;0,022568 €;0,017966 €;0,015837 €;0,352245 €;0,333667 €;0,302200 €;0,291367 €;0,273408 €;0,273052 €
PENINSULAACCIONAFIJOPONIENTE3.0TD-;PENINSULA;ACCIONA;FIJO;PONIENTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,346155 €;0,327577 €;0,296110 €;0,285277 €;0,267318 €;0,266962 €
PENINSULAACCIONAFIJOPONIENTE+3.0TD-;PENINSULA;ACCIONA;FIJO;PONIENTE+;3.0TD;-;0,045041 €;0,035965 €;0,019516 €;0,017089 €;0,012487 €;0,010358 €;0,346155 €;0,327577 €;0,296110 €;0,285277 €;0,267318 €;0,266962 €
PENINSULAACCIONAFIJOTRAMONTANA3.0TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,341080 €;0,322502 €;0,291035 €;0,280202 €;0,262243 €;0,261887 €
PENINSULAACCIONAFIJOTRAMONTANA+3.0TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA+;3.0TD;-;0,042302 €;0,033226 €;0,016776 €;0,014349 €;0,009747 €;0,007618 €;0,341080 €;0,322502 €;0,291035 €;0,280202 €;0,262243 €;0,261887 €
PENINSULAACCIONAFIJOCIERZO6.1TD-;PENINSULA;ACCIONA;FIJO;CIERZO;6.1TD;-;0,077855 €;0,072249 €;0,047885 €;0,041248 €;0,021896 €;0,019686 €;0,302987 €;0,287253 €;0,265079 €;0,256972 €;0,237417 €;0,238410 €
PENINSULAACCIONAFIJOLEVANTE6.1TD-;PENINSULA;ACCIONA;FIJO;LEVANTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,314152 €;0,298418 €;0,276244 €;0,268137 €;0,248582 €;0,249575 €
PENINSULAACCIONAFIJOLEVANTE+6.1TD-;PENINSULA;ACCIONA;FIJO;LEVANTE+;6.1TD;-;0,072376 €;0,066769 €;0,042406 €;0,035768 €;0,016417 €;0,014206 €;0,314152 €;0,298418 €;0,276244 €;0,268137 €;0,248582 €;0,249575 €
PENINSULAACCIONAFIJOPONIENTE6.1TD-;PENINSULA;ACCIONA;FIJO;PONIENTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,308062 €;0,292328 €;0,270154 €;0,262047 €;0,242492 €;0,243485 €
PENINSULAACCIONAFIJOPONIENTE+6.1TD-;PENINSULA;ACCIONA;FIJO;PONIENTE+;6.1TD;-;0,066896 €;0,061290 €;0,036926 €;0,030289 €;0,010937 €;0,008727 €;0,308062 €;0,292328 €;0,270154 €;0,262047 €;0,242492 €;0,243485 €
PENINSULAACCIONAFIJOTRAMONTANA6.1TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,302987 €;0,287253 €;0,265079 €;0,256972 €;0,237417 €;0,238410 €
PENINSULAACCIONAFIJOTRAMONTANA+6.1TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA+;6.1TD;-;0,064156 €;0,058550 €;0,034187 €;0,027549 €;0,008198 €;0,005987 €;0,302987 €;0,287253 €;0,265079 €;0,256972 €;0,237417 €;0,238410 €
PENINSULAACCIONAFIJOCIERZO6.2TD-;PENINSULA;ACCIONA;FIJO;CIERZO;6.2TD;-;0,060270 €;0,056978 €;0,037051 €;0,035407 €;0,019981 €;0,018683 €;0,283593 €;0,271622 €;0,254839 €;0,249912 €;0,234389 €;0,232643 €
PENINSULAACCIONAFIJOLEVANTE6.2TD-;PENINSULA;ACCIONA;FIJO;LEVANTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,294758 €;0,282787 €;0,266004 €;0,261077 €;0,245554 €;0,243808 €
PENINSULAACCIONAFIJOLEVANTE+6.2TD-;PENINSULA;ACCIONA;FIJO;LEVANTE+;6.2TD;-;0,054790 €;0,051498 €;0,031572 €;0,029927 €;0,014502 €;0,013204 €;0,294758 €;0,282787 €;0,266004 €;0,261077 €;0,245554 €;0,243808 €
PENINSULAACCIONAFIJOPONIENTE6.2TD-;PENINSULA;ACCIONA;FIJO;PONIENTE;6.2TD;-;0,043819 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,288668 €;0,276697 €;0,259914 €;0,254987 €;0,239464 €;0,237718 €
PENINSULAACCIONAFIJOPONIENTE+6.2TD-;PENINSULA;ACCIONA;FIJO;PONIENTE+;6.2TD;-;0,049311 €;0,046019 €;0,026092 €;0,024448 €;0,009022 €;0,007724 €;0,288668 €;0,276697 €;0,259914 €;0,254987 €;0,239464 €;0,237718 €
PENINSULAACCIONAFIJOTRAMONTANA6.2TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA;6.2TD;-;0,043819 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,283593 €;0,271622 €;0,254839 €;0,249912 €;0,234389 €;0,232643 €
PENINSULAACCIONAFIJOTRAMONTANA+6.2TD-;PENINSULA;ACCIONA;FIJO;TRAMONTANA+;6.2TD;-;0,046571 €;0,043279 €;0,023353 €;0,021708 €;0,006283 €;0,004985 €;0,283593 €;0,271622 €;0,254839 €;0,249912 €;0,234389 €;0,232643 €
CANARIASACCIONAFIJOCIERZO2.0TD-;CANARIAS;ACCIONA;FIJO;CIERZO;2.0TD;-;0,088121 €;0,019570 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOLEVANTE2.0TD-;CANARIAS;ACCIONA;FIJO;LEVANTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOLEVANTE+2.0TD-;CANARIAS;ACCIONA;FIJO;LEVANTE+;2.0TD;-;0,082641 €;0,014091 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,367603 €;0,316529 €;0,277909 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOPONIENTE2.0TD-;CANARIAS;ACCIONA;FIJO;PONIENTE;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOPONIENTE+2.0TD-;CANARIAS;ACCIONA;FIJO;PONIENTE+;2.0TD;-;0,077162 €;0,008611 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,361513 €;0,310439 €;0,271819 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOTRAMONTANA2.0TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA;2.0TD;-;0,071682 €;0,003132 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOTRAMONTANA+2.0TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA+;2.0TD;-;0,074422 €;0,005872 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,356438 €;0,305364 €;0,266744 €;0,000000 €;0,000000 €;0,000000 €
CANARIASACCIONAFIJOCIERZO3.0TD-;CANARIAS;ACCIONA;FIJO;CIERZO;3.0TD;-;0,056000 €;0,046924 €;0,030475 €;0,028048 €;0,023445 €;0,021317 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIASACCIONAFIJOLEVANTE3.0TD-;CANARIAS;ACCIONA;FIJO;LEVANTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,328945 €;0,342106 €;0,313440 €;0,292431 €;0,277592 €;0,273804 €
CANARIASACCIONAFIJOLEVANTE+3.0TD-;CANARIAS;ACCIONA;FIJO;LEVANTE+;3.0TD;-;0,050521 €;0,041445 €;0,024995 €;0,022568 €;0,017966 €;0,015837 €;0,328945 €;0,342106 €;0,313440 €;0,292431 €;0,277592 €;0,273804 €
CANARIASACCIONAFIJOPONIENTE3.0TD-;CANARIAS;ACCIONA;FIJO;PONIENTE;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,322855 €;0,336016 €;0,307350 €;0,286341 €;0,271502 €;0,267714 €
CANARIASACCIONAFIJOPONIENTE+3.0TD-;CANARIAS;ACCIONA;FIJO;PONIENTE+;3.0TD;-;0,045041 €;0,035965 €;0,019516 €;0,017089 €;0,012487 €;0,010358 €;0,322855 €;0,336016 €;0,307350 €;0,286341 €;0,271502 €;0,267714 €
CANARIASACCIONAFIJOTRAMONTANA3.0TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA;3.0TD;-;0,039562 €;0,030486 €;0,014036 €;0,011610 €;0,007007 €;0,004878 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIASACCIONAFIJOTRAMONTANA+3.0TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA+;3.0TD;-;0,042302 €;0,033226 €;0,016776 €;0,014349 €;0,009747 €;0,007618 €;0,317780 €;0,330941 €;0,302275 €;0,281266 €;0,266427 €;0,262639 €
CANARIASACCIONAFIJOCIERZO6.1TD-;CANARIAS;ACCIONA;FIJO;CIERZO;6.1TD;-;0,077855 €;0,072249 €;0,047885 €;0,041248 €;0,021896 €;0,019686 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIASACCIONAFIJOLEVANTE6.1TD-;CANARIAS;ACCIONA;FIJO;LEVANTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,295529 €;0,305549 €;0,285550 €;0,267682 €;0,254055 €;0,250264 €
CANARIASACCIONAFIJOLEVANTE+6.1TD-;CANARIAS;ACCIONA;FIJO;LEVANTE+;6.1TD;-;0,072376 €;0,066769 €;0,042406 €;0,035768 €;0,016417 €;0,014206 €;0,295529 €;0,305549 €;0,285550 €;0,267682 €;0,254055 €;0,250264 €
CANARIASACCIONAFIJOPONIENTE6.1TD-;CANARIAS;ACCIONA;FIJO;PONIENTE;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,289439 €;0,299459 €;0,279460 €;0,261592 €;0,247965 €;0,244174 €
CANARIASACCIONAFIJOPONIENTE+6.1TD-;CANARIAS;ACCIONA;FIJO;PONIENTE+;6.1TD;-;0,066896 €;0,061290 €;0,036926 €;0,030289 €;0,010937 €;0,008727 €;0,289439 €;0,299459 €;0,279460 €;0,261592 €;0,247965 €;0,244174 €
CANARIASACCIONAFIJOTRAMONTANA6.1TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA;6.1TD;-;0,061417 €;0,055810 €;0,031447 €;0,024809 €;0,005458 €;0,003247 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIASACCIONAFIJOTRAMONTANA+6.1TD-;CANARIAS;ACCIONA;FIJO;TRAMONTANA+;6.1TD;-;0,064156 €;0,058550 €;0,034187 €;0,027549 €;0,008198 €;0,005987 €;0,284364 €;0,294384 €;0,274385 €;0,256517 €;0,242890 €;0,239099 €
CANARIASACCIONAFIJOCIERZO6.2TD-;CANARIAS;ACCIONA;FIJO;CIERZO;6.2TD;-;0,060270 €;0,056978 €;0,037051 €;0,035407 €;0,019981 €;0,018683 €;0,265660 €;0,278593 €;0,263817 €;0,249235 €;0,239959 €;0,233317 €
CANARIASACCIONAFIJOLEVANTE6.2TD-;CANARIAS;ACCIONA;FIJO;LEVANTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,276825 €;0,289758 €;0,274982 €;0,260400 €;0,251124 €;0,244482 €
CANARIASACCIONAFIJOLEVANTE+6.2TD-;CANARIAS;ACCIONA;FIJO;LEVANTE+;6.2TD;-;0,054790 €;0,051498 €;0,031572 €;0,029927 €;0,014502 €;0,013204 €;0,276825 €;0,289758 €;0,274982 €;0,260400 €;0,251124 €;0,244482 €
